"","rho1","rho2","rho3","rho4","rho5","rho6","rho7","rho8","sigma1","sigma2","sigma3","sigma4","sigma5","sigma6","sigma7","sigma8","omega_rational1","omega_rational2","omega_rational3","omega_rational4","omega_rational5","omega_rational6","omega_rational7","omega_rational8","omega_lottery1","omega_lottery2","omega_lottery3","omega_lottery4","omega_lottery5","omega_lottery6","omega_lottery7","omega_lottery8","omega_surebet1","omega_surebet2","omega_surebet3","omega_surebet4","omega_surebet5","omega_surebet6","omega_surebet7","omega_surebet8","lp__1","lp__2","lp__3","lp__4","lp__5","lp__6","lp__7","lp__8","dataset"
"11",0.651654738273102,0.731929665744905,0.447943146189536,0.405924200538767,0.550458483146851,0.642262439291732,0.483959054750999,0.508555068032138,1.59635551672144,2.69835878552556,0.899837477142095,0.850198693016354,0.661697184295263,0.44142658764189,1.10941131603346,0.892054368666709,0.741193492290953,0.769859438709952,0.955485119891928,0.931930045900999,0.677464275402772,0.732237252240102,0.958208844949785,0.905919829788425,0.208115421920365,0.209913443227391,0.0181831089656959,0.0350091962354669,0.158433235267901,0.16306969424391,0.0160017097136364,0.0682846507075897,0.0506910857886823,0.0202271180626571,0.026331771142376,0.0330607578635339,0.164102489329327,0.104693053515988,0.025789445336579,0.0257955195039856,-131.358594700391,-137.214168108162,-100.885056322512,-110.844918842748,-150.297510301369,-152.476129398662,-89.9206539292887,-93.0918911696001,"Control"
"12",0.704240032888519,0.621666962697684,0.541141879810007,0.39046336549469,0.485797452853213,0.69175902621922,0.525589760784543,0.49445150922532,1.56411007920298,1.86292767474451,1.52562670433739,0.333491889054986,0.297895454168473,1.52511012912282,1.11707561449907,0.951824904013417,0.704491730329569,0.795953663962599,0.952247129649347,0.869352186796907,0.611313488670834,0.593654238340054,0.883830155298693,0.922320211583886,0.228771477773623,0.190157810038444,0.032260442233555,0.053706024217791,0.172839446972397,0.23768238195559,0.0102187260012146,0.0456683406484536,0.0667367918968086,0.0138885259989574,0.0154924281170984,0.0769417889853024,0.21584706435677,0.168663379704357,0.105951118700092,0.0320114477676604,-132.921615069263,-138.862634571088,-103.375468788119,-111.864948073773,-149.664940141699,-152.921007071666,-92.0449688644392,-93.1099606681505,"Control"
"13",0.671792546488841,0.698095873058643,0.497410771913176,0.377193373035626,0.476661313626317,0.637600732946105,0.495145907109638,0.449740976345217,1.65270754409334,2.70675288551188,0.992885447909488,0.61139970919239,0.421692121440535,1.11817627417494,0.993070964644932,0.808391236315143,0.821181669727784,0.796041013964105,0.895182654427637,0.818754192240556,0.720367907702758,0.650159632818591,0.919975407232927,0.886441273459678,0.146724831425865,0.193589189412489,0.0349171955609892,0.0405163288468605,0.123199703863063,0.196607528955326,0.0190043409668526,0.063501727585311,0.0320934988463507,0.010369796623406,0.0699001500113735,0.140729478912584,0.156432388434178,0.153232838226083,0.0610202518002199,0.0500569989550105,-131.091526177012,-137.511670623678,-99.2072063799398,-110.936156151373,-148.643200101604,-150.575896007305,-89.5874086103324,-94.7450777600693,"Control"
"14",0.647303191826309,0.71441409499403,0.517037159450584,0.410494899308982,0.590902115844026,0.607951717869094,0.509693099649298,0.481242213810385,1.51168395208463,2.59918840162551,1.54688983051979,1.02525717878846,0.517670835103741,0.749081897333645,1.30475157506164,0.74867249357152,0.825074847277963,0.723751666882568,0.836496209879225,0.689981620872619,0.579374519966442,0.711076957087223,0.946011840038599,0.907971454038178,0.144988689018524,0.242109122543967,0.0154821605380348,0.0478408407713822,0.19194210940154,0.22481543254441,0.0170957066976171,0.0501750835459068,0.0299364637035128,0.0341392105734651,0.14802162958274,0.262177538355999,0.228683370632018,0.0641076103683667,0.036892453263784,0.0418534624159152,-131.614666374178,-136.8913291038,-101.059494832109,-115.480992712014,-150.529810968904,-147.673302241578,-90.2227568662097,-93.2562501292719,"Control"
"15",0.647082689042072,0.790216340551308,0.524294406553673,0.39745669634909,0.611102088888858,0.624109522469957,0.469006563765786,0.527143206999866,1.43598293100039,4.51152602015108,1.18347703841899,0.516523806645501,0.484767367021463,1.48518035739052,0.989893527443132,1.03201733951884,0.758972702147956,0.814728571531545,0.930083437028086,0.874152912539,0.587390895821268,0.682463982234563,0.975482661496404,0.922798543485621,0.143027456659634,0.153563117278931,0.0249997079626967,0.0484853250641104,0.218018981991493,0.268699255539275,0.0117209239988292,0.0573847425937244,0.09799984119241,0.0317083111895245,0.0449168550092173,0.0773617623968896,0.194590122187239,0.0488367622261623,0.0127964145047669,0.0198167139206544,-133.900498484806,-138.526216814934,-100.535507481376,-108.808722596259,-153.212219716994,-151.58839731736,-91.0002361995769,-94.1631569589757,"Control"
"16",0.703232023623584,0.674533925243957,0.473812362153508,0.402832425812616,0.527771923532965,0.634336449336317,0.56653734582937,0.515334205757126,3.23884087266708,2.39240321956018,1.02781017574421,0.517621733865357,0.896549251497112,0.690169405226378,2.00491275873379,0.759350329190606,0.819843515021136,0.77583453364405,0.91735006203532,0.769254433633586,0.689031532528989,0.654622953256549,0.968139406747435,0.897942389448414,0.142723827323224,0.195442823830469,0.0407908546434623,0.0686562642883568,0.16795315011031,0.257473849903605,0.00986032217862223,0.038551513790247,0.0374326576556402,0.028722642525481,0.0418590833212179,0.162089302078057,0.143015317360701,0.0879031968398458,0.0220002710739428,0.0635060967613386,-132.585242318731,-136.62527292416,-98.9450855557384,-108.753266179359,-150.812163253569,-149.03350885825,-96.3642074237007,-95.9984611816846,"Control"
"17",0.72522835247012,0.656780129613414,0.518101705942105,0.412210001049873,0.478047271407507,0.548456490947922,0.477867203406606,0.475756998796468,2.65265404130789,3.05950981122828,1.42821329824382,0.842521048297375,0.47107298123216,0.780812366802742,0.864216820090966,1.19993344241446,0.875623580137604,0.733227955045297,0.890150427151697,0.865588701070242,0.709190030681162,0.737559603433091,0.88294103291971,0.882951971523285,0.0889010889327234,0.231158219799737,0.0234953573362843,0.0513879572800413,0.119332436740245,0.225538468961735,0.0438962773505308,0.100519102411445,0.0354753309296723,0.035613825154966,0.0863542155120185,0.0830233416497162,0.171477532578594,0.0369019276051739,0.073162689729759,0.01652892606527,-131.566213302428,-139.552050950988,-98.8491297589089,-109.523680068235,-148.585068430743,-149.354566630662,-90.5412834807682,-97.8615983791138,"Control"
"18",0.786238216269115,0.662099973735391,0.502072148054027,0.405865498458468,0.483747953565941,0.614177375584318,0.492670211422061,0.490110411953212,4.03671893760561,2.50311505736362,1.50362025886543,0.772500916213257,0.58971316255247,0.882429541593052,0.670730381081596,1.06062404751912,0.79546920189842,0.760617242459419,0.865896410267109,0.841573036170829,0.672789385072236,0.773433762466386,0.870207253813711,0.960577269999953,0.174952893394346,0.221610998614598,0.0335874490643917,0.0413246343598548,0.154081816413941,0.197073282219771,0.0684316363762391,0.0298070402456923,0.0295779047072337,0.0177717589259825,0.100516140668499,0.117102329469317,0.173128798513822,0.0294929553138435,0.0613611098100501,0.00961568975435463,-134.449903743803,-137.217584478215,-100.731850023141,-108.771059191979,-147.973506310642,-149.680487467116,-94.1199096055042,-95.3569852481238,"Control"
"19",0.656800036087577,0.730788072075492,0.469787471495715,0.454888215746774,0.531186948224425,0.562683858765534,0.477223274476815,0.494331515649591,1.80969349513368,3.67544378358362,0.916132848041434,0.685195443780819,0.48484816699277,0.800914402844522,0.932207581007266,0.814014255245458,0.827272376049125,0.790933533046452,0.914752043810711,0.778545306528767,0.738735107242531,0.705779973388008,0.912176008936419,0.874025109717039,0.149595093448742,0.172676365912017,0.0190900572847897,0.0648050006616064,0.133626997306028,0.220301521807879,0.00877521192872227,0.070321640898626,0.0231325305021327,0.0363901010415307,0.0661578989044989,0.156649692809627,0.127637895451441,0.0739185048041125,0.0790487791348587,0.055653249384335,-131.277305080239,-137.014170487371,-99.850640298062,-109.863792938482,-151.979540525367,-148.26115083693,-91.418681027661,-93.1199293471414,"Control"
"20",0.635697193705094,0.733217031456254,0.51014566073645,0.386252777487793,0.509789203982744,0.552356203338855,0.502916839818648,0.455729253111484,1.35398159371597,3.20854873750153,1.30614911809398,0.601457794664326,0.319141431312276,0.711497410621195,0.946845077407462,0.985935002716906,0.814309539404617,0.758602654216261,0.916281229988892,0.836296713827846,0.558696036919601,0.689294844369967,0.830830110729626,0.952943611358867,0.146067426914429,0.171770561647914,0.0361295560173778,0.0591179732873432,0.157874477262165,0.232474969242531,0.0326035935696559,0.0370364044117138,0.0396230336809543,0.069626784135825,0.0475892139937297,0.104585312884811,0.283429485818234,0.0782301863875026,0.136566295700718,0.0100199842294197,-132.021403947084,-137.926122263487,-99.1162978264698,-108.960065955474,-150.623794638472,-148.683837443945,-92.5568899853863,-96.1990631868852,"Control"
